schedule|googlelink|marketname|products|address|id
 Mon: 3:00 PM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=43.342226%2C%20-73.682859%20(%22Glens+Falls+Farmers+Market+Association%22)|Glens Falls Farmers Market Association|Baked goods; Cheese and/or dairy products; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Poultry; Prepared foods (for immediate consumption); Wine, beer, hard cider|1012 State Route 9, Queensbury, New York, 12804|1000692
05/03/2014 to 11/22/2014 Sat: 8:00 AM-12:00 PM;<br> <br> <br> |http://maps.google.com/?q=43.307958%2C%20-73.648229%20(%22Glens+Falls+Farmers+Market+Association%22)|Glens Falls Farmers Market Association|Baked goods; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Wine, beer, hard cider|South St, Glens Falls, New York, 12801|1000693
 <br> <br> <br> |http://maps.google.com/?q=42.6436%2C%20-92.4618%20(%22Sycamore+Mall+Farmers+Market%22)|Sycamore Mall Farmers Market||Highway 6 & Sycamore Street, Iowa City, Iowa, 52240|1000694
05/14/2014 to 12/13/2014 Wed: 8:00 AM-3:00 PM;Sat: 8:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=42.790299%2C%20-86.113329%20(%22Holland++Farmers+Market%22)|Holland  Farmers Market|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Nuts; Plants in containers; Poultry; Prepared foods (for immediate consumption); Trees, shrubs; Wine, beer, hard cider|150 W. 8th Street, Holland, Michigan, 49423|1000695
 <br> <br> <br> |http://maps.google.com/?q=39.1037%2C%20-94.5827%20(%22Ilus+Davis+Park+Farmers''+Market%22)|Ilus Davis Park Farmers'''' Market||Ilus Davis Park, 11th and Oak, Kansas City, Missouri|1000698
05/17/2013 to 10/25/2013 Fri: 3:00 PM-7:00 PM;<br>11/15/2013 to 04/18/2014 Fri: 3:00 PM-5:00 PM;<br> <br> |http://maps.google.com/?q=39.6508618444204%2C%20-84.1099836677313%20(%22SUGARCREEK+TOWNSHIP+FARMERS''+MARKET%22)|SUGARCREEK TOWNSHIP FARMERS'''' MARKET|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs|6134 Wilmington Pike, Dayton (Sugarcreek Township), Ohio, 45459|1000699
06/21/2013 to 10/11/2013 Fri: 3:00 PM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=47.653904%2C%20-118.150018%20(%22Big+Red+Barn+Farmers+Market%22)|Big Red Barn Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Prepared foods (for immediate consumption); Soap and/or body care products|605 Morgan Street, Davenport, Washington, 99122|1000700
05/10/2014 to 11/22/2014 Sat: 9:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=39.809987%2C%20-75.755475%20(%22New+Garden+Growers+Market%22)|New Garden Growers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs; Wine, beer, hard cider|8943 Newport Gap Pike, Avondale borough, Pennsylvania, 19311|1000701
05/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=42.467380%2C%20-73.390796%20(%22Lebanon+Valley+Farmers+Market%22)|Lebanon Valley Farmers Market||501 State Route 20, New Lebanon, New York, 12125|1000702
 <br> <br> <br> |http://maps.google.com/?q=40.1303%2C%20-86.0135%20(%22Cicero+Farmers+Market%22)|Cicero Farmers Market||Port Cicero Shopping Plaza, Cicero, Indiana, 46034|1000704
 <br> <br> <br> |http://maps.google.com/?q=46.3975%2C%20-112.736%20(%22Sunday+Farmers+Market%22)|Sunday Farmers Market||500 Block, Main Street, Deer Lodge, Montana|1000705
 <br> <br> <br> |http://maps.google.com/?q=39.6439%2C%20-85.142%20(%22Connersville%2fFayette+County+Farmers+Market%22)|Connersville/Fayette County Farmers Market||K-Mart parking lot, Connersville, Indiana, 47331|1000706
06/19/2014 to 10/16/2014 Thu: 4:00 PM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=41.530949%2C%20-81.638835%20(%22Farmers+Market+at+Blue+Pike+Farm%22)|Farmers Market at Blue Pike Farm|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs|900 E. 72nd Street, Cleveland, Ohio, 44103|1000707
01/01/2014 to 12/31/2014 Sat: 9:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=30.467929%2C%20-97.807481%20(%22Cedar+Park+Farmers''+Market%22)|Cedar Park Farmers'''' Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs; Wine, beer, hard cider|Lakeline Mall, behind Sears & Dillard''s, Cedar Park, Texas, 78613|1000710
05/01/2012 to 10/31/2012 Fri: 11:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=43.549612%2C%20-89.993406%20(%22Reedsburg+Area+Medical+Center+Farmer''s+Markets%22)|Reedsburg Area Medical Center Farmer''''s Markets|Baked goods; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Plants in containers; Poultry; Soap and/or body care products; Trees, shrubs|2000 North Dewey Avenue, Reedsburg, Wisconsin, 53959|1000712
06/13/2013 to 08/29/2013 Thu: 3:00 PM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=38.1048706%2C%20-87.7880512%20(%22Wadesville+Farmers+Market%22)|Wadesville Farmers Market|Baked goods; Crafts and/or woodworking items; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Soap and/or body care products|7238 Hwy 66, Wadesville, Indiana, 47638|1000713
 <br> <br> <br> |http://maps.google.com/?q=40.5301%2C%20-104.712%20(%22Garden+of+Eaton+Farmers+Market%22)|Garden of Eaton Farmers Market||Hwy 85, Eaton, Colorado, 80615|1000714
 <br> <br> <br> |http://maps.google.com/?q=41.2975%2C%20-96.6059%20(%22East+Military+Farmers+Market%22)|East Military Farmers Market||Mr. Movie''s parking lot, Colon, Nebraska, 68018|1000715
04/01/2014 to 10/28/2014 Tue: 4:00 PM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=33.081869%2C%20-83.224579%20(%22Milledgeville+Marketplace+Farmers''+Market%22)|Milledgeville Marketplace Farmers'''' Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Soap and/or body care products; Trees, shrubs|222 East Hancock Street, Milledgeville, Georgia, 31061|1000716
 <br> <br> <br> |http://maps.google.com/?q=28.2442%2C%20-82.7193%20(%22Downtown+Market%22)|Downtown Market||Historic District, New Port Richey, Florida, 34652|1000717
05/01/2013 to 10/31/2013 Thu: 10:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=39.020676%2C%20-76.909791%20(%22USDA+Beltsville+Farmers''+Market%22)|USDA Beltsville Farmers'''' Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Nuts; Plants in containers; Prepared foods (for immediate consumption); Soap and/or body care products|5601 Sunnyside Avenue, Beltsville, Maryland, 20705|1000718
 <br> <br> <br> |http://maps.google.com/?q=40.1021%2C%20-76.0891%20(%22Joseph+Adabbo+Family+Health+Center+Market%22)|Joseph Adabbo Family Health Center Market|Fresh fruit and vegetables; Fresh and/or dried herbs|Far Rockaway, New York|1000719
04/04/2013 to 11/27/2013 Thu: 8:00 AM-1:00 PM;Sun: 8:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=37.9974899291992%2C%20-121.308547973633%20(%22Weberstown+Mall+Certified+Farmers+Market%22)|Weberstown Mall Certified Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Nuts; Plants in containers; Trees, shrubs|4994 Claremont Ave., Stockton, California, 95207|1000721
05/01/2013 to 10/30/2013 Wed: 8:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=37.953072%2C%20-121.287689%20(%22Stockton+Downtown+Certified+Farmers+Market%22)|Stockton Downtown Certified Farmers Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Nuts; Plants in containers; Prepared foods (for immediate consumption); Trees, shrubs|200 Main Street, Stockton, California, 95201|1000722
05/04/2013 to 10/26/2013 Sat: 8:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=37.738328%2C%20-121.426885%20(%22Downtown+Tracy+Certified+Farmers+Market%22)|Downtown Tracy Certified Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Nuts; Plants in containers; Prepared foods (for immediate consumption); Trees, shrubs|10th Street, Tracy, California, 95376|1000723
 <br> <br> <br> |http://maps.google.com/?q=37.953%2C%20-121.289%20(%22Stockton+Kaiser+CFM%22)|Stockton Kaiser CFM||Kaiser Parking Lot, Stockton, California, 95205|1000726
 <br> <br> <br> |http://maps.google.com/?q=37.7553%2C%20-121.456%20(%22Tracy+Kaiser+CFM%22)|Tracy Kaiser CFM||Kaiser Parking Lot, Tracy, California|1000728
06/01/2013 to 10/31/2013 Tue: 9:00 AM-3:00 PM;Thu: 9:00 AM-6:00 PM;Sat: 9:00 AM-3:00 PM;<br> <br> <br> |http://maps.google.com/?q=44.08447%2C%20-103.2437%20(%22Black+Hills+Farmers+Market%22)|Black Hills Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs|1520 West Omaha Street, Rapid City, South Dakota, 57701|1000730
05/17/2014 to 09/27/2014 Sat: 8:00 AM-12:00 PM;<br> <br> <br> |http://maps.google.com/?q=41.729882%2C%20-93.608108%20(%22Uptown+Ankeny+Farmers+Market%22)|Uptown Ankeny Farmers Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Nuts; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products|Corner of SW 3rd & SW Maple Street, Ankeny, Iowa, 50023|1000731
01/01/2012 to 12/31/2012 <br> <br> <br> |http://maps.google.com/?q=29.714855%2C%20-95.410252%20(%22Rice+University+Farmers+Market%22)|Rice University Farmers Market||2100 University Boulevard, Houston, Texas, 77005|1000732
 <br> <br> <br> |http://maps.google.com/?q=43.2111%2C%20-75.458%20(%22Rome+Farmers+Market%22)|Rome Farmers Market||100 block of East Dominick Street, Rome, New York, 13440|1000733
05/01/2012 to 10/31/2012 Tue: 4:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;<br> <br> <br> |http://maps.google.com/?q=37.842394%2C%20-94.704948%20(%22Fort+Scott+Farmers+Market%22)|Fort Scott Farmers Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Nuts; Plants in containers; Poultry; Prepared foods (for immediate consumption)|Skubitz Plaza, Fort Scott, Kansas, 66701|1000734
 <br> <br> <br> |http://maps.google.com/?q=38.8961%2C%20-121.076%20(%22Auburn+Old+Town+Farmers+Market%22)|Auburn Old Town Farmers Market||Auburn-Folsom Rd. & Lincoln Way, Auburn, California, 95603|1000736
 <br> <br> <br> |http://maps.google.com/?q=38.7447%2C%20-121.198%20(%22Granite+Bay+Farmers+Market%22)|Granite Bay Farmers Market||5550 Douglas Boulevard, Granite Bay, California, 95746|1000737
 <br> <br> <br> |http://maps.google.com/?q=39.3533%2C%20-120.19%20(%22Truckee+CFM%22)|Truckee CFM||Highway 267 at Estates Drive, Truckee, California, 95604|1000738
 <br> <br> <br> |http://maps.google.com/?q=39.2358%2C%20-120.022%20(%22Tahoe+City+Kings+Beach+CFM%22)|Tahoe City Kings Beach CFM||Kings Beach, Tahoe City, California|1000739
 <br> <br> <br> |http://maps.google.com/?q=38.768%2C%20-121.335%20(%22Mahaney+Park%22)|Mahaney Park||1545 Pleasant Grove Blvd, Roseville, California|1000740
 <br> <br> <br> |http://maps.google.com/?q=38.8018%2C%20-121.297%20(%22Rocklin+Blue+Oaks+CFM%22)|Rocklin Blue Oaks CFM||6636 Lonetree Blvd., Rocklin, California|1000741
 <br> <br> <br> |http://maps.google.com/?q=39.3277%2C%20-120.185%20(%22Truckee+Thursday+CFM%22)|Truckee Thursday CFM||Donner Pass Road, Truckee, California|1000742
 <br> <br> <br> |http://maps.google.com/?q=38.7689%2C%20-121.266%20(%22Roseville+Fountains%22)|Roseville Fountains||Galleria Blvd. & East Roseville Parkway, Roseville, California|1000743
01/01/2011 to 05/31/2011 <br> <br> <br> |http://maps.google.com/?q=41.0115%2C%20-73.9177%20(%22Palisades+farmers+market%22)|Palisades farmers market||675 Oak Tree Rd, Palisades, New York, 10964|1000744
01/01/2014 to 03/31/2014 Wed: 7:00 AM-4:00 PM;Fri: 7:00 AM-4:00 PM;Sat: 7:00 AM-4:00 PM;Sun: 8:00 AM-4:00 PM;<br>04/01/2014 to 12/31/2014 Wed: 7:00 AM-4:00 PM;Fri: 7:00 AM-4:00 PM;Sat: 7:00 AM-4:00 PM;Sun: 8:00 AM-4:00 PM;<br> <br> |http://maps.google.com/?q=38.98105%2C%20-77.09232%20(%22Bethesda+-+Farm+Women''s+Cooperative+Market%22)|Bethesda - Farm Women''''s Cooperative Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Wine, beer, hard cider|7155 Wisconsin Avenue, Bethesda, Maryland, 20814|1000745
 <br> <br> <br> |http://maps.google.com/?q=40.9888%2C%20-73.7966%20(%22Scarsdale+Farmers+Market%22)|Scarsdale Farmers Market||1001 Post Rd., North White Plains, New York, 10603|1000747
06/01/2012 to 09/31/2012 <br> <br> <br> |http://maps.google.com/?q=39.9575%2C%20-86.01632%20(%22Fishers+Farmers+Market%22)|Fishers Farmers Market||11601 Municipal Drive, Fishers, Indiana, 46038|1000748
 <br> <br> <br> |http://maps.google.com/?q=46.6749%2C%20-123.718%20(%22Public+Market+On+The+Willapa%22)|Public Market On The Willapa||4th & Haven Street, Raymond, Washington, 98053|1000749
 <br> <br> <br> |http://maps.google.com/?q=36.0718%2C%20-75.6975%20(%22kitty+hawk+farm+%26+flea+market%22)|kitty hawk farm & flea market||4100 N.Croatan Hwy, Kitty Hawk, North Carolina, 27949|1000751
06/04/2014 to 09/24/2014 Wed: 4:00 PM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=40.3944769%2C%20-88.8724085%20(%22Downs+Village+Market%22)|Downs Village Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Maple syrup and/or maple products; Meat; Nuts; Plants in containers; Soap and/or body care products|W. Franklin St., Downs, Illinois, 61736|1000752
01/01/2013 to 12/31/2013 Wed: 2:00 PM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=33.6644910%2C%20-84.4681260%20(%22Truly+Living+Well%22)|Truly Living Well|Baked goods; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.|3353 Washington Road, East Point, Georgia, 30344|1000754
06/11/2014 to 10/28/2014 Tue: 3:00 PM-6:00 PM;Sat: 8:00 AM-11:00 AM;<br> <br> <br> |http://maps.google.com/?q=45.651278%2C%20-95.395875%20(%22Pope+County+Farmers+Market%22)|Pope County Farmers Market||230 Minnesota Avenue East, Glenwood, Minnesota, 56334|1000755
 <br> <br> <br> |http://maps.google.com/?q=40.5152%2C%20-107.546%20(%22Craig+Farmers''+Market%22)|Craig Farmers'''' Market||Alice Pleasant Park, Craig, Colorado|1000756
05/03/2013 to 09/20/2013 Sat: 9:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=41.15641%2C%20-83.41541%20(%22Fostoria+Farmers''+Market%22)|Fostoria Farmers'''' Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Prepared foods (for immediate consumption); Soap and/or body care products|133 W Tiffin, Fostoria, Ohio, 44830|1000757
06/02/2014 to 09/01/2014 Mon: 10:00 AM-1:00 PM;Thu: 10:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=43.779433%2C%20-86.433138%20(%22Pentwater+Famers+Market%22)|Pentwater Famers Market|Baked goods; Cut flowers; Eggs; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Plants in containers; Soap and/or body care products|321 S. Hancock St., Pentwater, Michigan, 49449|1000758
05/30/2014 to 10/17/2014 Fri: 3:00 PM-6:30 PM;<br> <br> <br> |http://maps.google.com/?q=44.4015%2C%20-72.9972%20(%22Richmond+Farmers+Market%22)|Richmond Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Wine, beer, hard cider|Volunteers Green, Richmond, Vermont, 05477|1000760
 <br> <br> <br> |http://maps.google.com/?q=38.0071%2C%20-89.6587%20(%22Steeleville+Farmers+Market%22)|Steeleville Farmers Market||107 West Broadway, Steeleville, Illinois, 62288|1000761
06/12/2014 to 09/25/2014 Thu: 3:00 PM-7:00 PM;<br>10/02/2014 to 10/23/2014 Thu: 3:00 PM-6:00 PM;<br>11/06/2014 to 12/18/2014 Thu: 3:00 PM-6:00 PM;<br> |http://maps.google.com/?q=45.10306%2C%20-93.44537%20(%22Maple+Grove+Farmers+Market%22)|Maple Grove Farmers Market|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products|12951 Weaver Lake Road, Maple Grove, Minnesota, 55369|1000763
07/17/2014 to 09/25/2014 Thu: 4:00 PM-6:00 PM;<br> <br> <br> |http://maps.google.com/?q=42.079414%2C%20-104.223469%20(%22Torrington+Farmers+Market%22)|Torrington Farmers Market|Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.|4516 US Hwy 26/85, Torrington, Wyoming, 82240|1000764
07/19/2014 to 09/27/2014 Sun: 7:30 AM-10:30 AM;<br> <br> <br> |http://maps.google.com/?q=42.065415%2C%20-104.184352%20(%22Torrington+Farmers+Market%22)|Torrington Farmers Market|Baked goods; Crafts and/or woodworking items; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Soap and/or body care products|Main Street between 20th & 21st, Torrington, Wyoming, 82240|1000765
 <br> <br> <br> |http://maps.google.com/?q=41.8452%2C%20-79.1454%20(%22Warren+County+Farmers+Market%22)|Warren County Farmers Market||Parking lot on 2nd Ave., Warren, Pennsylvania, 16365|1000766
05/02/2013 to 10/31/2013 Thu: 3:00 PM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=42.678463%2C%20-88.276064%20(%22Downtown+Burlington+Farmers+Market%22)|Downtown Burlington Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs| Washington & Pine Streets, Burlington, Wisconsin, 53105|1000769
07/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=41.0961%2C%20-74.68683%20(%22Olde+Lafayette+Village+Farmers''+Market%22)|Olde Lafayette Village Farmers'''' Market||75 State Route 15, Lafayette, New Jersey, 07848|1000772
04/06/2013 to 11/23/2013 Tue: 7:30 AM-12:30 PM;Thu: 7:30 AM-12:30 PM;Sat: 7:30 AM-12:30 PM;<br> <br> <br> |http://maps.google.com/?q=35.26521%2C%20-81.1757%20(%22Gastonia+Farmers+Market%22)|Gastonia Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Nuts; Plants in containers; Prepared foods (for immediate consumption); Soap and/or body care products; Trees, shrubs; Wine, beer, hard cider|410 E Long Avenue, Gastonia, North Carolina, 28054|1000774
 <br> <br> <br> |http://maps.google.com/?q=42.8523%2C%20-89.369%20(%22Brooklyn+Farmers+Market%22)|Brooklyn Farmers Market||Brooklyn Community Building, Brooklyn, Wisconsin, 53521|1000775
 <br> <br> <br> |http://maps.google.com/?q=43.8547%2C%20-104.205%20(%22Weston+County+Farmers+Market%22)|Weston County Farmers Market||First State Bank Parking Lot on Main Street, Newcastle, Wyoming, 82701|1000776
 <br> <br> <br> |http://maps.google.com/?q=44.1085%2C%20-104.624%20(%22Upton+Farmers+Market%22)|Upton Farmers Market||Upton City Park, Upton, Wyoming, 82730|1000777
05/21/2013 to 10/01/2013 Tue: 3:00 AM-6:30 PM;<br>05/27/2014 to 10/07/2014 Tue: 3:00 PM-6:30 PM;<br> <br> |http://maps.google.com/?q=45.438325%2C%20-93.586173%20(%22Zimmerman+Farmers+Market%22)|Zimmerman Farmers Market|Baked goods; Cut flowers; Fresh fruit and vegetables; Fresh and/or dried herbs; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Soap and/or body care products|Lions Park, Main Street , Zimmerman, Minnesota, 55398|1000778
05/11/2013 to 10/26/2013 Sat: 8:30 AM-12:00 PM;<br>05/10/2014 to 10/25/2014 Sat: 8:30 AM-12:00 PM;<br> <br> |http://maps.google.com/?q=45.568718%2C%20-93.579728%20(%22Princeton+Farmers+Market%22)|Princeton Farmers Market|Baked goods; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products|111 Rum River Drive, Princeton, Minnesota, 55371|1000779
05/03/2014 to 10/25/2014 Wed: 3:00 PM-6:00 PM;Sat: 7:00 AM-11:00 PM;<br> <br> <br> |http://maps.google.com/?q=39.316574%2C%20-94.917787%20(%22Leavenworth+Farmers+Market%22)|Leavenworth Farmers Market|Baked goods; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Soap and/or body care products|7th and Cherokee Street, Leavenworth, Kansas, 66048|1000780
06/28/2013 to 08/30/2013 Fri: 10:00 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=39.4289861%2C%20-75.2343549%20(%22Bridgeton+Outdoor+Market+in+the+Culinary+District+-+A+community+Farmers''+Market%22)|Bridgeton Outdoor Market in the Culinary District - A community Farmers'''' Market|Crafts and/or woodworking items; Fresh fruit and vegetables|Corner of Laurel and East Commerce streets, Bridgeton, New Jersey, 08302|1000781
 <br> <br> <br> |http://maps.google.com/?q=37.6335%2C%20-121.012%20(%22West+Modesto+CFM%22)|West Modesto CFM||601 S. Martin Luther King Drive, Modesto, California|1000784
01/01/2014 to 12/31/2014 Sun: 8:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=34.1866121%2C%20-118.5120399%20(%22Encino+Farmers+Market%22)|Encino Farmers Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fish and/or seafood; Fresh and/or dried herbs; Honey; Meat; Nuts; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products|17400 Victory Boulevard, Van Nuys, California, 91406|1000785
